,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B (a lot of debris),B3B (less debris than A4B),C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S from McManus Lab,E1S,F2S,H4S,I2S,J2S,K2S,"A4B Eutreptiella bloom, a lot of debris",B3B,C1B,"D3B W/o Lugol's added, data not used in analysis",E1B,F2B,H4B,I2B few cells,J2B,K2B,A4S,"B3S w/o lugol's added, but the sample was still good ",C1S,D3S,E1S,F2S,H4S,I2S,J1S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J1B,K2B,A4S,B3S,C1S,D1S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2,K2B,A4S (a lot of debris),B3S,C1S,D3S,E1S,F2 S,H4S,I2S (large amount of debris),J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2 B,H4B,I2B,J2B,K2B
,Coscinodiscus blandus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus concinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus lineatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus radiatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus spp.,2904,,,,,1452,,,,,1452,,,,,,1452,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,2904,,13200,,,,,,1452,,1452,8800,,8800,,4400,4400,8800,4400,8800,13200,8800,1452,1452,,,,,8800,2904,,1452,,2904,2904,1452,2904,
Cyclindrotheca,Cyclindrotheca closterium,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,1452,1452,,,1452,,,,,,5852,,,2904,,,1452,,,,,,,8800,8800,4400,2904,17600,66000,44000,92400,35200,,1452,2904,,2904,4400,,,2904,,,1452,5852,1100000,132000,22000,39600,22000,44000,22000,1452,5852,1452,5852,19052,35200,,13200,35200,,2904,4400,1452,400400,17600,4400,,,13200,1452,8800,,1452,,,,,,1452,,1452,1452,1452,,,,,,,1452,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclotella,Cyclotella spp.,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,2904,,,,,,,,,,,,,1452,,,,,,,,1452,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,
,Cyclotella striata,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cyclotella stylorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbella ,Cymbella spp.,,,,,,,,,,,,,,,,,1452,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,1452,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyliosolen,Dactyliosolen fragilissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphineis,Delphineis surriella,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delphineis spp. ,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,26400,17600,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,1452,2904,1452,,,,,,,,,,,,,,,,,,,1452,,,,1452,,,,8800,,,,,,,4400,,4400,,,,,,,,,,,,,,,,,,,,,,1452
Detonula,Detonula confervacea,,,,,,,,,,,,,,,,5852,8800,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Detonula pumila,,,8800,13200,4400,,,,,2904,,,8800,1452,,1452,,1452,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,
Diatoma,Diatoma vulgaris,,,,,,,4400,,,,,1452,,,,,,,,,,,,,,,,,880,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,
Ditylum,Ditylum brightwellii,1452,,13200,2904,8800,8800,,2904,4400,1452,22000,22000,19052,13200,1452,8800,8800,8800,8800,4400,4400,,8800,1452,4400,,1452,1452,8800,1452,,1452,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,,,,,1452,,,1452,,22000,,8800,,2904,4400,,1452,5852,,,4400,8800,,,1452,880,1452,2904,,,1452,1452,,,1452,1452,,2904,1452,,,1452,,,,,,,,,,1452,,,,,,1452,,,,,,,,,,,,,1452,,,,1452,,,,2904,,1452,,,1452,1452,,,
Diploneis,Diploneis smithii,,,,,,,,,,2904,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diploneis sp.,,,,,,,,,,2904,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucampia,Eucampia cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,2904,,,,,,,,,,,,,,,,,,,,,,,2904,,8800,,,2904,,,,,,,,,,1452,5852,,,,,,,8800,22000,39600,30800,22000,,13200,17600,,,13200,,,,1452,13200,8800,17600,,,2904,,,,,,1452,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,
,Eucampia zodiacus,,,2904,,,,,8800,,,,,,,,,,,,,5852,,4400,,,,,,,,,,,,,,,,,,,1452,,5852,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,1452,8800,,,2904,17600,,,,,17600,,,,,,,,2904,17600,13200,,,2904,,,,,,5852,,17600,,,,,,,,,8800,1452,,,,,,,,,,1452,,,,,,,,,,1452,,,,,,,,4400,,,,,,,,,,,
Fragilaria,Fragilaria spp.,,,,1452,,1452,2904,,,1452,2904,,,1452,,,,,,4400,2904,,1452,1452,,2904,,2904,1452,1452,19052,13200,,,1452,,,,,,,,,,,,,,,2904,3168,1452,,,,,,,,2904,1452,2904,,,,,,,,,,4400,4400,,2904,,1452,,,,,,,,,,,,,,,,,1452,2904,,,,,,8800,0,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,1452,2904,,,,,,,,,,,,4400,,,,,,,,2904,,,,,,1452,4400,2904,2904,2904,,,,,,
Frustulia,Frustulia spp.,880,,,,2904,,,,,880,2904,4400,4400,1452,,,,,,2904,,,,,,,,,,,1452,,1452,,,,1452,,1452,,13200,1452,,,,,,,,,,,,,,,,,1452,,,,,,1452,1452,,,,1452,1452,2904,1452,,,,,,1452,2904,,,,,,,1452,,,1452,,,,,2904,,,,1452,,,8800,,1452,,,13200,,,,4400,8800,17600,8800,4400,2904,,,1452,,1452,,1452,,,,2904,4400,1452,,,,,8800,,1452,13200,,,,,,,,,,,,1452,,,,,,,,,,17600,,13200,1452,,4400,,,,1452,,,,,,,,,,2904,,5852
Gomphonema,Gomphonema spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,1452,,,1452,,,,,,,,,,,,,,,4400,,,,,,1452,,1452,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammatophora,Grammatophora marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinardia,Guinardia delicatula,,,,,17600,5852,1452,,,,2200,,1452,4400,,8800,8800,13200,,,,,,13200,17600,22000,,,30800,,13200,22000,8800,13200,22000,4400,1452,13200,4400,4400,39600,114400,180400,352000,48400,8800,2489,,,2904,537600,470800,,74800,831600,620400,448800,92400,,,13200,13200,,,,,,,4400,,,8800,,,,,,2904,4400,,44000,8800,,,,,,,,,,,,,,,4400,13200,,1452,8800,,189200,378400,30800,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,13200,1452,,,,,1452,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guinardia striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guinardia flaccida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guinardia spp. ,,,,,,,,,,,,,,,,,,,,,1452,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,2904,,,,8800,8800,,,8800,,4400,13200,8800,8800,,,,1452,,2904,,1452,1452,2904,1452,,,,,,1452
Haslea,Haslea spp.,,,,,,,,,,,,,,2904,,,,,,,,1452,,,,,,1452,1452,,2904,,1452,,,,,,,1452,,,1452,2904,1452,,,1452,,1452,3168,,,,,1452,,,1452,1452,,,,,,,,,4400,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,1452,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemiaulus,Hemiaulus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,4400,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemidiscus,Hemidiscus cuneiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauderia,Lauderia annulata,,,,,,,,,,,,,,,,,,,,,1452,,,,1452,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptocylindrus,Leptocylindrus danicus,13200,,17600,30800,,17600,13200,2904,8800,1452,8800,,110000,17600,17600,30800,,17600,17600,8800,13200,22000,26400,2904,4400,,17600,4400,,2904,,,,,,,,,1452,,17600,,96800,22000,57200,,2489,,,,,,,,,,,,,2904,2904,39600,4400,88000,22000,470800,1051600,1610400,316800,114400,,8800,,,,5852,,2904,246400,202400,66000,44000,,17600,26400,110000,30800,2904,5852,8800,,,5852,8800,7304,17600,13200,,17600,,48400,22000,8800,17600,325600,92400,290400,118800,132000,79200,4400,4400,70400,8800,26400,26400,4400,13200,26400,,,4400,13200,4400,1452,1452,,8800,14652,79200,,8800,4400,8800,,,,13200,8800,48400,1452,1452,,1452,2904,,4400,13200,13200,,,,,,,,4400,8800,4400,13200,,,,,22000,2904,1452,,1452,2904,,2904,17600,,,2904,2904,,2904,5852
,Leptocylindrus minimus,8800,,26400,35200,66000,74800,66000,35200,39600,8800,682000,884400,484000,690800,96800,391600,356400,400400,435600,167200,123200,79200,224400,391600,224400,268400,884400,92400,356400,39600,2002000,1557600,1130800,686400,66000,61600,,,,,44000,,,,2904,2904,,,,,,,,1452,,,,,,,,,,,,,30800,13200,8800,,,,,,,,,,,,88000,,,8800,,,,,,,,,,,1452,,,,1452,,796400,,,,8800,,,8800,,,4400,,,,,,,1452,,,,,,,1452,,,,4400,,,,4400,,,,,1452,,,,,,,,,,,,5852,,,,,,,,,4400,,,,,,,,,,,,,,,,,,1452,,1452,2904
Licmophora,Licmophora dalmatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licmophora flabellata,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,2904,,,1452,,,,,,,,,,,,1584,,,,,,,,,1452,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lioloma,Lioloma spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithodesmium,Lithodesmium undulatum,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melosria,Melosira nummuloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Melosira spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula,Navicula ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Navicula cryptocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Navicula spp.,,,,,,,,,1452,,,,1452,2904,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,4400,,,,,,,,,2904,,,,,,,,,,,1452,,,2904,,,4400,,1452,4400,2904,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,13200,,,2904,5852,,,,,,,1452,1452,,,,,,,1452,,1452,,,,,1452,,,,,,2904,,,,,,,,8800,,4400,1452,,,,4400,5852,7304,,2904,1452,,1452,4400,1452,2904,,4400,,,1452,
Neodelphineis,Neodelphineis spp.,17600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitzschia,Nitzschia closterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia longissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia lorenziana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia navicularis,,,,,,,,,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia obtusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia spp.,4400,,13200,,17600,13200,13200,13200,1452,17600,30800,17600,13200,26400,1452,,35200,17600,17600,48400,17600,,8800,,8800,,22000,13200,39600,,,4400,8800,8800,,,,8800,,35200,,22000,13200,,13200,13200,,,8800,17600,14400,,,,,57200,,8800,,10252,17600,8800,13200,13200,,,,,,17600,8800,,,8800,4400,,,8800,,17600,13200,8800,,22000,1452,,,,2904,1452,,1452,1452,26400,8800,17600,,,2904,,,,,,,,,,,8800,,,,,,4400,,,,,,1452,,,,,,,,,,,,,,,,,,,,1452,,,,17600,,,,,,,,,,17600,,,,8800,,,,1452,8800,4400,1452,4400,1452,4400,13200,,13200,,,8800,,2904,1452,
Odontella,Odontella aurita,,,8800,8800,2904,,1760,,,,8800,,,,,,,1452,,1452,,,1452,,,8800,1452,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,
,Odontella longicruris,,,,,,,,,,,,,5852,8800,,1452,,2904,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odontella mobiliensis,,,,,,,,,,,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odontella sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odontella spp.,,,,,4400,,,,,880,,26400,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,4400,,4400,2904,,1452,,,,,,,,,,,,,,,,,,17600,,1452,,4400,,,8800,,,1452,,,1452,,,,1452,,,,4400,2904,4400,,,,,,,,,13200,13200,,1452,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,1452,,,,,,,,
Paralia,Paralia sulcata,5852,,39600,17600,57200,2904,,48400,10252,88000,,52800,,70400,35200,19052,132000,44000,88000,8800,5852,,,17600,,35200,13200,44000,22000,,,,13200,8800,,,,8800,17600,4400,2904,8800,4400,11704,,,,,13200,48400,6384,,,,,,,,,35200,30800,,,13200,,,,,4400,8800,17600,10252,8800,22000,16104,44000,35200,26400,,,,,,,,,,,,,5852,,4400,5852,4400,,22000,17600,,4400,,,,,,,,,,,17600,,,8800,5852,13200,22000,7304,,,1452,,,26400,10252,26400,26400,,,,,7304,8800,22000,,8800,,,8800,,1452,5852,10252,2904,8800,,,11704,5852,22000,,4400,13200,13200,13200,,13200,35200,22000,5852,44000,48400,17600,35200,4400,26400,,44000,52800,48400,39600,8800,48400,13200,13200,66000,26400,17600,26400,24904
Pinnularia,Pinnularia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
