,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S NOTE: a lot of debris,I2S NOTE: a lot of debris,J2S ,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S NOTE: little biomass,C1S NOTE: little biomass,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B NOTE: high biomass,E1B NOTE: high biomass ,F2B NOTE: high biomass,H4B NOTE: high biomass,I2B,J2B,K2B,A4S,B3S ,C1S ,D3S ,E1S,F2S,H4S,I2S,J2S,K2S ,A4B NOTE: HIGH BIOMASS,"B3B  NOTE: HIGH BIOMASS, A LOT OF DEBRIS",C1B ,D3B ,"E1B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","F2B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","H4B NOTE: HIGH BIOMASS, A LOT OF DEBRIS",I2B,J2B,K2B ,"A4S NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4S,I2S,J2S,K2S,"A4B NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4B,I2B,J2B,K2B,A4S Note: Thalassiosira BLOOM,B3S Note: Thalassiosira BLOOM,C1S Note: Thalassiosira BLOOM,D3S,E1S Note: VERY LOW BIOMASS,F2S Note: VERY LOW BIOMASS,H4S Note: VERY LOW BIOMASS,"I2S Note: FEW PHYTOPLANKTON, A LOT OF CILIATES (LABOEA)",J2S NOTE: VERY LOW BIOMASS,K2S,A4B Note:LARGE AMOUNT OF DEBRIS,B3B Note:LARGE AMOUNT OF DEBRIS,C1B Note: LARGE AMOUNT OF DEBRIS,D3B,E1B FEW CELLS,F2B ,H4B,I2B ,J2B NOTE: VERY LOW BIOMASS,K2B  VERY LOW BIOMASS,A4S  High biomass.,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S A lot of debris,A4B,B3B,C1B,D3B,E1B,F2B,H4B  A lot of debris,I2B A lot of debris,J2B,K2B Few cells,A4S ,B3S ,C1S,D3S ,E1S,F2S  Few cells,H4S  Very little biomass,I2S  Few cells,J2S Few cells,K2S Few cells,A4B  A lot of debris,B3B  A lot of debris,C1B  A lot of debris,D3B  A lot of debris ,E1B  A lot of debris ,F2B,H4B,I2B,J2B,K2B,A4S,B3S  Prorocentrum triestinum bloom ,C1S,D3S,E1S,F2S  Few cells,H4S  Few cells,I2S  Few cells,J2S  A lot debris,K2S,A4B,B3B,C1B  Lots of debris,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B  Lots of debris,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S Few cells,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B Few cells,A4S ,B3S,C1S,D3S,E1S,F2S few cells,H4S few cells,I2S Lots of debris,J2S Lots of debris,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B Lots of debris,K2B Few cells
Asterionellopsis,"Asterionellopsis glacialis (Asterionella glacialis Castracane 1886 , A. japonica Cleve 1882)",4400,,,,,4400,4400,1452,1452,2904,,4400,44000,,,,,4400,5852,13200,22000,4400,13200,52800,8800,13200,13200,17600,13200,26400,17600,8800,8800,30800,8800,8800,8800,13200,8800,8800,70400,26400,4400,74800,83600,61600,22000,22000,74800,30800,132000,44000,57200,154000,61600,35200,35200,136400,198000,123200,39600,17600,17600,22000,4400,44000,35200,8800,13200,8800,52800,30800,52800,154000,259600,202400,193600,127600,61600,22000,,4400,,,,8800,,,,,,,,,,13200,,4400,,,,,,,,,,,,,1452,4400,1452,,,26400,1,,,1452,,,,4400,4400,26400,,,17600,4400,4400,13200,8800,8800,4400,,,8800,22000,4400,,,,,,,,,,,,,,4400,8800,4400,8800,,8800,,,,,,,,,,8800,,,5720,,,,,,,,,8800,17600,17600,26400,127600,74800,149600,11440,108680,79200,17600,8800,,8800,48400,92400,61600,83600,61600,22000,2904,13200,,8800,1452,4400,,2904,1452,,2904,,35200,13200,1452,4400,1452,,1452,,,,,1452,,,,,8800,,,,8800,,2904,,2904,,8800,
Asteroplanus,Asteroplanus karianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,8800,,,,8800,4400,8800,,,,,,,,,,,,,,,,,,,1452,1452,,,,,,,,,,,,,,,,,,4400,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillaria,Bacillaria paxillifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,,,,,,,,,,,,,,,,,,,,,,35200,,,,,,,,,,,,,,,,,,,,,,,,,,,5852,1452,,,,,,,,,,,,,,,,,,30800,,,
Bacteriastrum,Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,,2904,,,,,,,,,,,,,,,,,5852,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina,Cerataulina pelagica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26400,,26400,,,396000,215600,206800,88000,13200,4400,26400,44000,30800,35200,17600,8800,202400,26400,22000,,17600,30800,35200,211200,237600,30800,17600,,,,,8800,,8800,8800,,4400,,4400,8800,,,4400,,,8800,13200,48400,17600,,,,,,,,22880,62920,17160,4400,35200,13200,13200,,8800,1452,17160,5720,4400,13200,52800,4400,8800,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros,Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,resting spores of Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros constrictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros curvisetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,66000,149600,576400,387200,136400,,,,,,74800,30800,92400,140800,17600,30800,,,,,,,,,,,,,,,11704,,,,8800,22000,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros danicus,,,,,,1452,,1452,,,,,,,,,1452,,,,,,,1452,,2904,,,4400,4400,,4400,4400,,,,,,4400,,,4400,,4400,,,,4400,,,1452,8800,,4400,4400,,,4400,,4400,1452,,8800,,,,,1452,,8800,,8800,2904,,,,4400,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,30800,13200,,,,,,,5720,,5720,,,8800,39600,,,,,1888,1888,5852,,,,8800,5852,5852,,8800,,,,,,,,,,,,,,8800,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,
